ID,Title,Image file,Author,URL
1,Black-headed gull,black-headed-gull.jpg,Hans Hillewaert,https://commons.wikimedia.org/wiki/File:Chroicocephalus_ridibundus_(summer).jpg
2,Snowdrop,snowdrop.jpg,Geoff Doggett,https://www.publicdomainpictures.net/en/view-image.php?image=12170&picture=spring-snowdrop
3,Carrara marble,carrara-marble.jpg,James St. John,https://www.flickr.com/photos/jsjgeology/14618707748
4,Grey linnet egg,grey-linnet-egg.jpg,Didier Descouens,https://commons.wikimedia.org/wiki/File:Carduelis_cannabina_cannabina_MHNT_223_St_Mor%C3%A9.jpg
5,Christmas rose,christmas-rose.jpg,,https://pixabay.com/en/christmas-rose-flower-nature-plant-3108799/
6,Porcelain earth,porcelain-earth.jpg,James St. John,https://www.flickr.com/photos/jsjgeology/32350111650/
7,Black-legged kittiwake,kittiwake-gull.jpg,Sharp Photography,https://commons.wikimedia.org/wiki/File:Kittiwake_(Rissa_tridactyla)_in_flight.jpg
8,White geranium,white-geranium.jpg,Tony Hisgett,https://commons.wikimedia.org/wiki/File:White_geranium_(3679089706).jpg
9,Storksbill,storksbill.jpg,David Eickhoff,https://www.flickr.com/photos/dweickhoff/5596586121
10,Aragonite,aragonite.jpg,Didier Descouens,https://commons.wikimedia.org/wiki/File:Aragonite_Salsigne_France.jpg
11,Egret,egret.jpg,El Golli Mohamed,https://commons.wikimedia.org/wiki/File:Aigrette_garzette_au_lac_sud_de_Tunis_(site_RAMSAR).jpg
12,Hawthorn blossom,hawthorn-blossom.jpg,Mary Hutchison,https://www.flickr.com/photos/mary_hutchison/5716419821
13,Chalk,chalk.jpg,James St. John,https://www.flickr.com/photos/jsjgeology/16610898008
14,Barn owl,white-owl.jpg,Alun Williams333,https://commons.wikimedia.org/wiki/File:Tyto_alba_tylluan_wen_detail.jpg
15,White convulvulus,white-convulvulus.jpg,,https://www.maxpixel.net/Creeper-Flower-Bindweed-Blooming-Yunki-White-2453936
16,French porcelain cup,french-porcelain-cup.jpg,World Imaging,https://commons.wikimedia.org/wiki/File:Vincennes_soft_porcelain_cup_1750_1752.jpg
17,Golden crested wren,golden-crested-wren.jpg,Cliff Watkinson,https://commons.wikimedia.org/wiki/File:Goldcrest_%27Regulus_regulus%27_by_Cliff_Watkinson.jpg
18,Polyanthus narcissus,polyanthus-narcissus.jpg,Zachi Evenor,https://commons.wikimedia.org/wiki/File:Narcissus-tazetta-2014-Zachi-Evenor.jpg
19,Eyeball,eyeball.jpg,Psychonaught,https://commons.wikimedia.org/wiki/File:Eyeball_Blue.jpg
20,Blue hepatica,blue-hepatica.jpg,,https://www.maxpixel.net/Plant-Hepatica-Spring-Blue-Flower-Blue-Close-1984255
21,Opal,opal.jpg,James St. John,https://www.flickr.com/photos/jsjgeology/32558884822
22,White grapes,white-grapes.jpg,Silverije,"https://commons.wikimedia.org/wiki/File:Gro%C5%BE%C4%91e_mu%C5%A1kat,_srpanjski_bijeli_(2015).jpg"
23,Titmouse,titmouse.jpg,Membeth,https://commons.wikimedia.org/wiki/File:Parks.Range.Aegithalos.caudatus.caudatus.jpg
24,Calcareous sinter,calc-sinter.jpg,Michael Linnenbach,https://commons.wikimedia.org/wiki/File:Kalksinter.JPG
25,Tripoli,tripoli.jpg,DYET,http://www.rgbstock.com/photo/mlJDLzu/Tripoli
26,Limestone,limestone.jpg,Hans,https://pixabay.com/en/karst-landscape-limestone-weathering-779917/
27,Wood ashes,wood-ashes.jpg,Laurentius,https://commons.wikimedia.org/wiki/File:Wood_ash.jpg
28,Flint,flint.jpg,Otis Crandell,https://commons.wikimedia.org/wiki/File:Miorcani_flint.jpg
29,European robin,robin.jpg,Michel Langeveld,https://commons.wikimedia.org/wiki/File:Erithacus_rubecula_173708832.jpg
30,Pied Wagtail,pied-wagtail.jpg,Albert Bridge,https://www.geograph.ie/photo/4402371
31,Purple Hepatica,purple-hepatica.jpg,Archenzo Moggio,https://commons.wikimedia.org/wiki/File:Hepatica_nobilis_plant.JPG
32,Porcelain Jasper,porcelain-jasper.jpg,Daderot,"https://commons.wikimedia.org/wiki/File:Teapot_with_cupids_at_play,_c._1785,_white_jasper_-_Wedgwood_Museum_-_Barlaston,_Stoke-on-Trent,_England_-_DSC09613.jpg"
33,Barberry bush,barberry-bush.jpg,Famartin,"https://commons.wikimedia.org/wiki/File:2014-12-30_11_31_34_Barberry_fruit_along_River_Road_(New_Jersey_Route_175)_in_Ewing,_New_Jersey.JPG"
34,Chalcedony,chalcedony.jpg,Rob Lavinsky,https://commons.wikimedia.org/wiki/File:Chalcedony-Quartz-236626.jpg
35,Northern wheatear,white-rump.jpg,Imran Shah,https://commons.wikimedia.org/wiki/File:Northern_Wheatear_(Oenanthe_oenanthe)_(50801180502).jpg
36,Wood pigeon,wood-pigeon.jpg,Tristan Ferne,https://commons.wikimedia.org/wiki/File:Columba_palumbus_-garden_post-8.jpg
37,Ash tree,ash-tree.jpg,Spablab,https://www.flickr.com/photos/spablab/5935159945
38,Greywacke,greywacke.jpg,Michael C. Rygel,https://commons.wikimedia.org/wiki/File:Feldspathic-wacke.jpg
39,Nuthatch,nuthatch.jpg,Artur Mikołajewski,https://commons.wikimedia.org/wiki/File:Sitta_europaea_AM1.jpg
40,Hawthorn,hawthorn.jpg,Karsten Madsen,https://www.pexels.com/photo/berries-forest-nature-red-berries-18087/
41,Basalt,basalt.jpg,Jamain,"https://commons.wikimedia.org/wiki/File:Basalt,_Lanzarote_J1.jpg"
42,White-throated dipper,white-throated-dipper.jpg,Ron Knight,https://commons.wikimedia.org/wiki/File:White-throated_Dipper_(Cinclus_cinclus)_(13667851995).jpg
43,Eurasian moorhen,eurasian-moorhen.jpg,Luiz Lapa,"https://commons.wikimedia.org/wiki/File:Galinha_d%27%C3%A1gua,_Eurasian_Moorhen_(52379065804).jpg"
44,Black slug,black-slug.jpg,Prashanthns,https://commons.wikimedia.org/wiki/File:Black_Slug.jpg
45,Crowberries,crowberries.jpg,Thomas Quine,https://www.flickr.com/photos/quinet/3294731660
46,Cobalite,cobalite.jpg,James St. John,https://www.flickr.com/photos/jsjgeology/26141353642
47,Lapwing,lapwing.jpg,Andreas Trepte,https://commons.wikimedia.org/wiki/File:Northern-Lapwing-Vanellus-vanellus_crop.jpg
48,Hornblende,hornblende.jpg,James St. John,https://www.flickr.com/photos/jsjgeology/31733452843
49,Black guillemot,black-guillemot.jpg,Boaworm,https://commons.wikimedia.org/wiki/File:Black_Guillemot_Cepphus_grylle.jpg
50,Ilvaite (yenite mica),ilvaite.jpg,Raimond Spekking,"https://commons.wikimedia.org/wiki/File:Ilvaite,_Quartz,_Calcite-1643.jpg"
51,Tiger moth,tiger-moth.jpg,Kurt Kulac,https://commons.wikimedia.org/wiki/File:Arctia_caja_Buchstein02.jpg
52,Pochard duck,pochard-duck.jpg,Diliff,"https://commons.wikimedia.org/wiki/File:Netta_rufina_(Red-crested_Pochard)_Male,_London_Wetland_Centre_-_Diliff.jpg"
53,Fuchsia berries,fuchsia.jpg,MPF,https://commons.wikimedia.org/wiki/File:Fuchsia_magellanica.jpg
54,Olivenite (olive copper ore),olivenite.jpg,Rob Lavinsky,https://commons.wikimedia.org/wiki/File:Olivenite-237510.jpg
55,Nightshade berries,nightshade-berries.jpg,,https://www.maxpixel.net/Solanaceae-Food-Vegetable-Black-Nightshade-Plant-2352800
56,Mole,mole.jpg,Stanislaw Szydlo,https://commons.wikimedia.org/wiki/File:Kret_mole.jpg
57,Cowpeas,cowpeas.jpg,David E Mead,https://commons.wikimedia.org/wiki/File:Cowpeas_(Vigna_unguiculata)_dry_marketed_(2).jpg
58,Obsidian,obsidian.jpg,ArnoWinter,https://commons.wikimedia.org/wiki/File:Hand_Pieces_of_Obsidian.jpg
59,Black velvet,black-velvet.jpg,FixiPixi_deluxe,https://pixabay.com/en/texture-velvet-color-texture-1355530/
60,Blue titmouse,blue-titmouse.jpg,Francis Franklin,https://commons.wikimedia.org/wiki/File:Eurasian_blue_tit_Lancashire.jpg
61,Bluish purple anemone,bluish-purple-anemone.jpg,Hanay,https://commons.wikimedia.org/wiki/File:Anemone_coronaria_-_purple.jpg
62,Blue copper ore,blue-copper-ore.jpg,Eric Hunt,https://en.wikipedia.org/wiki/File:Azurite_from_China.jpg
63,Purple anemone,purple-anemone.jpg,Buntysmum,https://pixabay.com/en/purple-anemone-flower-bulb-2709202/
64,Mallard drake,mallard-drake.jpg,Alorin,https://commons.wikimedia.org/wiki/File:Male_mallard_duck_standing.png
65,Blue beetle (similar to rhynchites nitens),blue-beetle.jpg,Yogendra Joshi,https://www.flickr.com/photos/yogendra174/5972929562
66,Gentian flower,gentian.jpg,Twdragon,https://commons.wikimedia.org/wiki/File:Gentian.jpg
67,Antillean-crested hummingbird,antillean-crested-hummingbird.jpg,Charles J. Sharp,https://commons.wikimedia.org/wiki/File:Antillean_crested_hummingbird_feeding.jpg
68,Grape hyacinth,grape-hyacinth.jpg,Vera Kratochvil,https://www.publicdomainpictures.net/en/view-image.php?image=11963&picture=blue-grape-hyacinths
69,Blue heath butterfly,blue-heath-butterfly.jpg,Lairich Rig,https://www.geograph.org.uk/photo/4595695
70,Borage,borage.jpg,Paasikivi,https://commons.wikimedia.org/wiki/File:Borage_starflower_Rohtopurasruoho_01.jpg
71,Lapis lazuli (azure),lapis-lazuli.jpg,Hannes Grobe,https://commons.wikimedia.org/wiki/File:Lapis-lazuli_hg.jpg
72,Tortoiseshell butterfly (aka Devil's Butterfly),tortoiseshell-butterfly.jpg,Charles J Sharp,https://commons.wikimedia.org/wiki/File:Small_tortoiseshell_butterfly_(aglais_urticae).jpg
73,Flax flower,flax-flower.jpg,Derek Ramsey,https://commons.wikimedia.org/wiki/File:Blue_Flax_Linum_perenne_lewisii_%27Appar%27_Flower_2614px.jpg
74,Eurasian jay,jay.jpg,Luc Viatour,https://commons.wikimedia.org/wiki/File:Garrulus_glandarius_1_Luc_Viatour.jpg
75,Sapphire,sapphire.jpg,Stanislav Doronenko,https://commons.wikimedia.org/wiki/File:Sapphire_ring.jpg
76,Green fluorite,green-fluorite.jpg,Ervins Strauhmanis,https://www.flickr.com/photos/ervins_strauhmanis/30604626406
77,Fennel flower,fennel-flower.jpg,4028mdk09,https://commons.wikimedia.org/wiki/File:Jungfer_im_Gr%C3%BCnen.JPG
78,Turquoise,turquoise.jpg,Rob Lavinsky,https://commons.wikimedia.org/wiki/File:Turquoise-40031.jpg
79,Fluorite (aka fluorspar),fluorite.jpg,Didier Descouens,https://commons.wikimedia.org/wiki/File:FluoriteMaroc.jpg
80,Iron ore,iron-ore.jpg,Eurico Zimbres,https://commons.wikimedia.org/wiki/File:HematitaEZ.jpg
81,Lebellula depressa,lebellula-depressa.jpg,Charles J Sharp,https://commons.wikimedia.org/wiki/File:Broad-bodied_chaser_dragonfly_(Libellula_depressa)_male.jpg
82,Blue lilac,blue-lilac.jpg,Alex Borland,https://www.publicdomainpictures.net/en/view-image.php?image=220704&picture=blue-lilac-flower
83,Lepidolite,lepidolite.jpg,Rob Lavinsky,https://commons.wikimedia.org/wiki/File:Lepidolite-208658.jpg
84,Azure blue butterfly,azure-blue-butterfly.jpg,D. Gordon E. Robertson,https://commons.wikimedia.org/wiki/File:Spring_Azure-male.jpg
85,White and purple crocus,white-and-purple-crocus.jpg,PPD,https://pixnio.com/flora-plants/flowers/crocus-flowers-pictures/white-petals-purple-color-crocus-flowers
86,Purple aster,purple-aster.jpg,Hectonichus,https://commons.wikimedia.org/wiki/File:Asteraceae_-_Aster_amellus.JPG
87,Amethyst,amethyst.jpg,JJ Harrison,"https://commons.wikimedia.org/wiki/File:Amethyst._Magaliesburg,_South_Africa.jpg"
88,Leaf beetle (chrysomela goettingensis),leaf-beetle.jpg,gbohne,https://commons.wikimedia.org/wiki/File:Alder_leaf_beetle_from_the_High_Tatras_(7663242448).jpg
89,Scented violets,scented-violets.jpg,Hans,https://pixabay.com/en/scented-violets-violet-flower-1077136/
90,Bowl made from Derbyshire spar,derbyshire-spar.jpg,Andy Mabbett,https://commons.wikimedia.org/wiki/File:Treak_Cliff_Cavern_-_Blue_John_ornament_-_Andy_Mabbett_-_12.JPG
91,Canterbury bell,canterbury-bell.jpg,Hectonichus,https://commons.wikimedia.org/wiki/File:Campanulaceae_-_Campanula_medium-4.JPG
92,Campanula persicifolia,campanula-persicifolia.jpg,Skalle-Per Hedenhös,https://commons.wikimedia.org/wiki/File:Stor_bl%C3%A5klocka.Campanula_persicifolia.jpg
93,Saffron crocus,saffron-crocus.jpg,Serpico,https://commons.wikimedia.org/wiki/File:Saffron8.jpg
94,Purple fluorite,purple-fluorite.jpg,Didier Descouens,https://commons.wikimedia.org/wiki/File:FluoriteUV.jpg
95,Blue Bottle Fly,blue-bottle-fly.jpg,Hectonichus,https://commons.wikimedia.org/wiki/File:Calliphoridae_-_Calliphora_vomitoria.JPG
